,gender,year,education,value,se
477,female,2013,doctor,75090,3515
389,female,2013,master,61280,561
433,female,2013,professional,85400,6196
213,female,2013,some_college,35240,312
125,female,2013,some_high,22250,544
37,female,2013,total,40610,134
301,female,2013,total_high_edu,55720,416
258,female,2014,AA,37480,591
346,female,2014,Bachelor,51350,230
170,female,2014,High school,30650,151
82,female,2014,Less than 9th grade,20990,279
478,female,2014,doctor,80540,2875
390,female,2014,master,60830,442
434,female,2014,professional,91810,8587
214,female,2014,some_college,34380,891
126,female,2014,some_high,21990,322
38,female,2014,total,40830,151
302,female,2014,total_high_edu,55940,333
259,female,2015,AA,40190,437
347,female,2015,Bachelor,51680,278
171,female,2015,High school,31250,138
83,female,2015,Less than 9th grade,21050,275
479,female,2015,doctor,82310,3752
391,female,2015,master,62380,1135
435,female,2015,professional,82470,5049
215,female,2015,some_college,36140,273
127,female,2015,some_high,22670,714
39,female,2015,total,41680,146
303,female,2015,total_high_edu,57220,527
260,female,2016,AA,40220,362
348,female,2016,Bachelor,52030,257
172,female,2016,High school,31540,152
84,female,2016,Less than 9th grade,22210,485
480,female,2016,doctor,86370,4485
392,female,2016,master,64910,1091
436,female,2016,professional,92030,4468
216,female,2016,some_college,36880,273
128,female,2016,some_high,24800,562
40,female,2016,total,43010,617
304,female,2016,total_high_edu,60060,483
261,female,2017,AA,40640,335
349,female,2017,Bachelor,52440,601
173,female,2017,High school,32240,199
85,female,2017,Less than 9th grade,22360,533
481,female,2017,doctor,92030,3137
393,female,2017,master,68510,1524
437,female,2017,professional,100180,4817
217,female,2017,some_college,36620,259
129,female,2017,some_high,25450,459
41,female,2017,total,44620,530
305,female,2017,total_high_edu,60740,270
262,female,2018,AA,41490,329
350,female,2018,Bachelor,56680,466
174,female,2018,High school,32620,471
86,female,2018,Less than 9th grade,22970,1042
482,female,2018,doctor,95170,5083
394,female,2018,master,66740,581
438,female,2018,professional,99780,7090
218,female,2018,some_college,38840,600
130,female,2018,some_high,25140,576
42,female,2018,total,46570,204
306,female,2018,total_high_edu,61760,227
263,female,2019,AA,42300,540
351,female,2019,Bachelor,57420,805
175,female,2019,High school,35100,307
87,female,2019,Less than 9th grade,24560,595
483,female,2019,doctor,101170,952
395,female,2019,master,70810,543
439,female,2019,professional,102460,9619
